temp,hum,next_temp,next_hum,trang_thai_suc_khoe,khan_cap
41,78.4,42.9,82.9,Cuc ky nguy hiem,Khong
26.4,50.3,25.2,41.4,An toan,Khong
35.5,81.1,34.2,79,Nguy hiem,Khong
31.3,92.5,31.8,92.7,Can trong,Khong
39.6,47.6,39.9,43.9,Canh bao cao,Khong
21.7,49.1,20.6,52.4,An toan,Khong
21.9,63.4,22.6,67.2,An toan,Khong
37.2,94.7,35.4,100,Nguy hiem,Khong
26.8,34.5,28.7,39.4,An toan,Khong
40.5,35.2,41.8,42.1,Canh bao cao,Khong
20.1,33.7,19.4,33.5,An toan,Khong
27.9,78.6,26.4,76,Can trong,Khong
24.8,65.6,24.2,74.8,An toan,Khong
22.7,33.3,24.7,34.9,An toan,Khong
27,90,28.3,95,Can trong,Khong
34.4,63.2,41.9,80.4,Nguy hiem,CO (Soc moi truong)
32.1,91.1,34.4,77.8,Nguy hiem,Khong
20.4,73.4,22.1,63.5,An toan,Khong
40.7,85.8,42.3,76.4,Nguy hiem,Khong
27.2,86.2,28,92.6,Can trong,Khong
31.7,47.8,31.2,45,Can trong,Khong
25.6,73.1,27.1,81.6,An toan,Khong
41.3,65,45.8,72.4,Cuc ky nguy hiem,Khong
41.2,40.4,40.4,43.6,Cuc ky nguy hiem,Khong
40,84.2,38.7,83.2,Nguy hiem,Khong
23.4,51.9,22.6,59.3,An toan,Khong
22.7,56.9,21.1,59.4,An toan,Khong
41.8,60.3,38.3,75.7,Cuc ky nguy hiem,Khong
20.8,33.1,22.7,30.7,An toan,Khong
39.5,80.9,41,83.5,Nguy hiem,Khong
36.2,86.1,34.9,100,Nguy hiem,Khong
29,30.3,30.1,30.5,Can trong,Khong
27.3,42.4,27.9,39.3,Can trong,Khong
23.9,48.7,24.1,52.6,An toan,Khong
22,49.8,22.4,41,An toan,Khong
31,68.6,33,69.5,Can trong,Khong
24.4,83.5,22.6,74.6,An toan,Khong
22,76.3,20.1,75.6,An toan,Khong
28.2,57.9,21.4,69.2,Can trong,CO (Soc moi truong)
24.9,39.8,26,42.1,An toan,Khong
38.6,53.6,39.1,47.2,Canh bao cao,Khong
34.7,37.2,36.2,41.1,Canh bao cao,Khong
21.2,43.7,20.1,40.8,An toan,Khong
28.5,80.1,28.9,87.5,Can trong,Khong
23.3,74.7,24.8,80.4,An toan,Khong
40.5,56.3,41.1,84.8,Canh bao cao,CO (Soc moi truong)
41.1,84.8,39.2,93.3,Cuc ky nguy hiem,Khong
26.2,56.6,25,59,An toan,Khong
20,43.2,19.6,44.9,An toan,Khong
22.1,52.4,21.8,58.3,An toan,Khong
37.2,47.6,35.9,37.6,Canh bao cao,Khong
41.5,77.1,39.5,71.6,Cuc ky nguy hiem,Khong
24.7,46.2,25.4,50.5,An toan,Khong
29.3,68.7,30.7,78.2,Can trong,Khong
28.5,59.9,28.8,59.4,Can trong,Khong
38.3,35.1,39.1,31.5,Canh bao cao,Khong
31.1,47.6,32.7,57.5,Can trong,Khong
33.2,41.2,32.3,49.8,Canh bao cao,Khong
33.2,34.8,34.9,29.1,Canh bao cao,Khong
30.4,45.8,31.4,36,Can trong,Khong
32.9,72.9,34.2,66.3,Nguy hiem,Khong
22.2,33.6,20.3,37.6,An toan,Khong
39.5,75.1,40.4,81.2,Nguy hiem,Khong
39.1,85.7,39.9,78.1,Nguy hiem,Khong
40.2,73,34.2,56.2,Nguy hiem,CO (Soc moi truong)
27.9,45.1,29.7,35.7,Can trong,Khong
31.5,47.6,32.6,46.2,Can trong,Khong
33.2,38.7,40,27.1,Canh bao cao,CO (Soc moi truong)
22.2,47.1,22.9,42.6,An toan,Khong
25.4,93,23.6,94.6,An toan,Khong
36.5,90.4,36.6,98,Nguy hiem,Khong
22.4,87.2,23.8,78,An toan,Khong
31.3,60.4,30.4,52,Can trong,Khong
34.3,67,35.4,68.2,Nguy hiem,Khong
31.1,82.8,33.1,89.4,Can trong,Khong
40.2,51.6,42.1,45.8,Canh bao cao,Khong
23.3,85.7,30,96.1,An toan,CO (Soc moi truong)
35.5,58.5,35.5,61.4,Canh bao cao,Khong
23,35.6,21.3,30.3,An toan,Khong
33.7,86.8,33.1,85.4,Nguy hiem,Khong
25.4,85.6,25.1,67.1,An toan,Khong
29.8,74.9,30,80.4,Can trong,Khong
38.1,82.9,38.4,74.1,Nguy hiem,Khong
36.3,37.8,37.3,44.2,Canh bao cao,Khong
35.6,68.5,38.4,61.6,Nguy hiem,Khong
27.8,37.5,25.9,37.6,Can trong,Khong
20,81.1,18.2,76.2,An toan,Khong
21.3,59.1,21.7,54.1,An toan,Khong
38.8,80.6,37.6,88.4,Nguy hiem,Khong
35.8,79.6,35,80,Nguy hiem,Khong
32.6,32.7,33,23.5,Canh bao cao,Khong
35.4,60.6,36.1,83,Nguy hiem,CO (Soc moi truong)
31.4,62,30,67.2,Can trong,Khong
23.8,91.6,23,82.5,An toan,Khong
23.9,40.2,25.4,41.4,An toan,Khong
31.2,62.5,32.5,72.4,Can trong,Khong
21.7,49.6,20.4,44.9,An toan,Khong
27.2,90.4,29.1,94.5,Can trong,Khong
26.8,31.8,26,39.9,An toan,Khong
40.1,64.4,39,92.1,Nguy hiem,CO (Soc moi truong)
27.7,68.7,29.4,70.3,Can trong,Khong
41,34.4,42.4,37.5,Canh bao cao,Khong
32.5,46.6,33.2,46.6,Canh bao cao,Khong
41.9,79.2,43.8,74.3,Cuc ky nguy hiem,Khong
20,66.8,18.2,62.7,An toan,Khong
31.6,78.4,32,75.9,Can trong,Khong
37.5,82.6,38.2,73.5,Nguy hiem,Khong
37.2,43.1,37.7,41.2,Canh bao cao,Khong
29,77.2,27,73.2,Can trong,Khong
34.2,81.4,32.7,74.1,Nguy hiem,Khong
29.8,38.1,30.5,43.6,Can trong,Khong
33,57.6,33.5,65.5,Canh bao cao,Khong
32,54,32.4,47.2,Can trong,Khong
22.8,78.9,21.9,77.2,An toan,Khong
39.3,48.6,44.6,40.3,Canh bao cao,CO (Soc moi truong)
29.2,87.5,31.1,92.3,Can trong,Khong
39.9,87.9,33.9,80,Nguy hiem,CO (Soc moi truong)
26.5,78.2,26.8,73.1,An toan,Khong
40.2,60,38.9,54.3,Canh bao cao,Khong
23.4,94,30.9,100,An toan,CO (Soc moi truong)
20.8,53.7,21.5,56.7,An toan,Khong
25.5,40.7,24.9,48.7,An toan,Khong
30.7,44.2,31.7,44.4,Can trong,Khong
35.4,50,35.8,56.4,Canh bao cao,Khong
34.7,49,33.3,53.5,Canh bao cao,Khong
33.9,37.4,32.3,43.3,Canh bao cao,Khong
30.4,90.1,30.2,92.5,Can trong,Khong
35.2,36.4,33.7,36.3,Canh bao cao,Khong
41.1,88.9,41.1,92.5,Cuc ky nguy hiem,Khong
35.9,74.7,37.7,65.4,Nguy hiem,Khong
37.2,84,38.9,81.7,Nguy hiem,Khong
40.9,63,41.2,64.7,Nguy hiem,Khong
41.3,93.7,42.6,91.2,Cuc ky nguy hiem,Khong
26.4,33,25.3,32.3,An toan,Khong
35,33.5,36.6,39.7,Canh bao cao,Khong
27.5,71.7,26,92.6,Can trong,CO (Soc moi truong)
37.2,62.2,39.2,71.7,Nguy hiem,Khong
22.6,59.7,21.6,64.5,An toan,Khong
28.6,33.7,28,44.5,Can trong,Khong
24.7,90.4,22.7,88,An toan,Khong
29,37.8,27.2,30.4,Can trong,Khong
33.6,38.3,35.3,31.6,Canh bao cao,Khong
20.3,83.9,19,88,An toan,Khong
42,86.3,42.9,77.8,Cuc ky nguy hiem,Khong
40.6,86.4,40.3,93,Nguy hiem,Khong
28.3,37,27.1,44.1,Can trong,Khong
37.4,55.8,38.6,57.4,Canh bao cao,Khong
24.9,71.7,29.3,100,An toan,CO (Soc moi truong)
41.2,87.2,40,86.3,Cuc ky nguy hiem,Khong
23.2,31.6,25.2,22.9,An toan,Khong
37,84.3,37.5,87,Nguy hiem,Khong
31.8,74.7,31,82.2,Can trong,Khong
40.1,75.3,41.2,66.3,Nguy hiem,Khong
21.7,92.6,17,100,An toan,Khong
38,57,36.8,57.9,Canh bao cao,Khong
40.1,75.1,41.5,69.6,Nguy hiem,Khong
23.2,92.5,23.3,90.9,An toan,Khong
34.9,45.3,33.1,40.2,Canh bao cao,Khong
23.6,34.8,24,37.8,An toan,Khong
35.2,36,33.5,34.2,Canh bao cao,Khong
31,90.6,31.6,99.7,Can trong,Khong
27.8,53,29.5,62.5,Can trong,Khong
26.5,84.6,27.2,81.1,An toan,Khong
33.5,67.7,33.5,60.7,Nguy hiem,Khong
26,77.9,28.5,97.4,An toan,Khong
41.6,93,40.8,100,Cuc ky nguy hiem,Khong
31,54.7,29.5,46.8,Can trong,Khong
31.6,73.6,32.9,80.1,Can trong,Khong
22.3,78.7,20.5,79.7,An toan,Khong
28.5,33.8,28.1,41.8,Can trong,Khong
37.2,50.6,38,59.2,Canh bao cao,Khong
38.8,84.7,39.1,94.3,Nguy hiem,Khong
39.8,31.2,39.5,29.4,Canh bao cao,Khong
22.9,39.8,23.7,41.5,An toan,Khong
30.9,61.3,31.4,55.3,Can trong,Khong
32.5,48.4,34.4,47.2,Canh bao cao,Khong
25.3,38.8,25.3,45.4,An toan,Khong
32.4,86.3,34,94.1,Nguy hiem,Khong
29.8,79.3,29.8,87.7,Can trong,Khong
36.9,81.3,35.9,82,Nguy hiem,Khong
27.7,59.8,27.4,53.8,Can trong,Khong
30.1,65.7,32.1,75.3,Can trong,Khong
35.9,73.3,36.8,79.6,Nguy hiem,Khong
31.7,84.5,32,85.8,Can trong,Khong
22.9,36.3,24.5,29.6,An toan,Khong
25.5,47.9,25.2,45.8,An toan,Khong
21.9,52.3,23.1,54.9,An toan,Khong
23.9,52.7,23.2,50.3,An toan,Khong
27.7,66.5,23.9,95.2,Can trong,CO (Soc moi truong)
23.2,31.9,21.5,38.6,An toan,Khong
23.8,35.7,22.5,32.7,An toan,Khong
34.9,43.6,35.7,51.6,Canh bao cao,Khong
29.1,61.8,27.7,68.7,Can trong,Khong
23.8,49.7,25.2,42.7,An toan,Khong
25.6,37.8,25.8,41.7,An toan,Khong
25.2,32.4,20.9,35.6,An toan,Khong
38.8,51.9,37.7,59.7,Canh bao cao,Khong
29.1,90.8,28.7,86.6,Can trong,Khong
40.8,75.1,39,79.1,Nguy hiem,Khong
38.1,47.4,38.3,49,Canh bao cao,Khong
20.1,60.9,18.4,65.6,An toan,Khong
29.9,58.1,29.8,63.5,Can trong,Khong
30.9,46.6,32.6,47.4,Can trong,Khong
36.4,33.5,37.9,42,Canh bao cao,Khong
40.4,66.5,41.7,59.8,Nguy hiem,Khong
28.1,68.3,28,63.6,Can trong,Khong
21.7,80,22.5,79.2,An toan,Khong
40.5,32.5,38.8,40.3,Canh bao cao,Khong
21.5,69.6,20.5,60.9,An toan,Khong
25,73.6,27,100,An toan,CO (Soc moi truong)
36.5,87.7,29.7,65.6,Nguy hiem,CO (Soc moi truong)
21.8,63.3,21.8,57,An toan,Khong
37.2,73.9,38.5,83.1,Nguy hiem,Khong
30,90.2,30.3,84.1,Can trong,Khong
30.2,37.6,30.1,29.7,Can trong,Khong
28,94.6,27.5,95.2,Can trong,Khong
22.4,65.1,22,62,An toan,Khong
41.2,78.8,40.6,75.2,Cuc ky nguy hiem,Khong
38.3,70.5,39.1,75.7,Nguy hiem,Khong
36.4,80.6,44.3,78.7,Nguy hiem,CO (Soc moi truong)
41.1,50,42.4,46.4,Cuc ky nguy hiem,Khong
31.9,45.7,31.6,38.8,Can trong,Khong
40.8,85.8,41.8,84.2,Nguy hiem,Khong
36.2,59.5,36.4,60.7,Canh bao cao,Khong
24.2,52.3,23.8,50.3,An toan,Khong
26.5,58.8,25.8,65.3,An toan,Khong
21.8,71.8,23.2,61.9,An toan,Khong
31.8,91.9,33.7,93.5,Can trong,Khong
32.9,56.8,33.6,52.9,Canh bao cao,Khong
33.7,34.7,32.7,38.2,Canh bao cao,Khong
30.6,86,32.3,95.2,Can trong,Khong
29.1,38.5,27.5,64.6,Can trong,CO (Soc moi truong)
26.6,61.3,27.7,61.5,An toan,Khong
33,94.5,33.8,100,Nguy hiem,Khong
22.2,59,23.1,64.3,An toan,Khong
27.5,59.7,27.1,67.1,Can trong,Khong
37.6,32.7,37.3,26.8,Canh bao cao,Khong
23.3,43.4,24.1,50.5,An toan,Khong
30.6,80.9,31.5,85.5,Can trong,Khong
33.6,80.8,33.2,84.8,Nguy hiem,Khong
37.7,55.1,29.8,68,Canh bao cao,CO (Soc moi truong)
21.5,74.9,21,68.2,An toan,Khong
34.2,43.7,35.7,43.5,Canh bao cao,Khong
33,80,33.9,84,Nguy hiem,Khong
26.3,78.3,27.1,85.2,An toan,Khong
41.8,82.1,40.2,72.9,Cuc ky nguy hiem,Khong
25.1,79.1,24.8,86.7,An toan,Khong
23.7,94.9,24.9,100,An toan,Khong
21.2,73,20.9,67.5,An toan,Khong
32.7,67,31.1,70.3,Nguy hiem,Khong
33.8,80.8,32.2,80.2,Nguy hiem,Khong
26,47,33.1,52.5,An toan,CO (Soc moi truong)
40.5,67.2,38.7,60,Nguy hiem,Khong
20.4,72.1,20.8,81.5,An toan,Khong
30.5,74.2,30.3,76.9,Can trong,Khong
38.7,37.5,39.7,35,Canh bao cao,Khong
22.4,89.6,23.2,98.6,An toan,Khong
41.9,43.5,43.1,52.3,Cuc ky nguy hiem,Khong
25.1,48.6,26.9,44.5,An toan,Khong
34.2,41.5,36,50.2,Canh bao cao,Khong
33.6,78.7,34.2,80.5,Nguy hiem,Khong
26.8,65.3,27.8,66.1,An toan,Khong
22.3,40.1,23.2,35.6,An toan,Khong
28.5,45.9,29.3,38,Can trong,Khong
32.8,44.9,34.1,37.9,Canh bao cao,Khong
25.3,74.4,23.8,75.3,An toan,Khong
23.9,54,25.9,52.1,An toan,Khong
31,77.2,32,74.3,Can trong,Khong
22.7,89.2,23.8,81.4,An toan,Khong
41.2,81.6,43.1,75.9,Cuc ky nguy hiem,Khong
41,31.6,41.9,27.1,Cuc ky nguy hiem,Khong
21.5,58.6,22.7,59.9,An toan,Khong
33.3,44.1,31.7,39,Canh bao cao,Khong
40.3,71,38.6,66.5,Nguy hiem,Khong
22.4,33.8,21.9,39.7,An toan,Khong
22.7,50.1,21.4,54.6,An toan,Khong
23.3,31.4,24.9,37.2,An toan,Khong
33.2,85.3,31.6,75.6,Nguy hiem,Khong
37.1,66.5,38.7,67,Nguy hiem,Khong
41.9,93.4,41.5,97.6,Cuc ky nguy hiem,Khong
40.9,78.8,39.5,83.1,Nguy hiem,Khong
33.2,58.7,33.6,68.4,Canh bao cao,Khong
21.8,46.4,21.3,52.8,An toan,Khong
38.1,86.3,37,91.3,Nguy hiem,Khong
31.3,87.5,30.1,95.8,Can trong,Khong
28.7,33.9,28.1,27.6,Can trong,Khong
26.1,46.7,19.3,62.9,An toan,CO (Soc moi truong)
40.1,79.4,41.6,84.5,Nguy hiem,Khong
24.9,49,24,40.9,An toan,Khong
35.3,67,35.3,58.6,Nguy hiem,Khong
24.3,84.3,24,77.1,An toan,Khong
22.3,52.7,19.5,35.3,An toan,Khong
28.7,48.8,21.7,21.4,Can trong,CO (Soc moi truong)
38.1,64.9,36.7,64.3,Nguy hiem,Khong
27.3,46.5,25.5,37.7,Can trong,Khong
36.2,86.7,35.6,91,Nguy hiem,Khong
25,84.4,26.4,78.7,An toan,Khong
41.9,93.9,42,94.8,Cuc ky nguy hiem,Khong
27.8,56.7,28.4,62.6,Can trong,Khong
30.8,50.5,30.7,57.4,Can trong,Khong
37,80.4,38.4,75.4,Nguy hiem,Khong
41.1,41.5,39.7,51.3,Cuc ky nguy hiem,Khong
26.2,56,25.4,53.8,An toan,Khong
34,44.4,34.5,46.2,Canh bao cao,Khong
29.5,63,29.9,61.3,Can trong,Khong
37.7,77.2,36.7,81.1,Nguy hiem,Khong
23.1,73.5,21.9,71.2,An toan,Khong
40.5,72.6,42.4,79,Nguy hiem,Khong
40.9,32.3,41.2,31.5,Canh bao cao,Khong
30.1,80.9,29.9,86.2,Can trong,Khong
28.5,89.4,30,89.2,Can trong,Khong
37.3,51.3,36.7,45,Canh bao cao,Khong
32.6,79.2,32.6,89.2,Nguy hiem,Khong
35.6,69.6,35.4,69.3,Nguy hiem,Khong
38.2,54.4,36.8,52.4,Canh bao cao,Khong
38.9,58.5,36.9,65.5,Canh bao cao,Khong
24.8,90.4,26.6,98.5,An toan,Khong
23.1,50.5,27.2,72.9,An toan,CO (Soc moi truong)
28.7,75.1,27.2,78.1,Can trong,Khong
36.1,45.5,29.5,45,Canh bao cao,CO (Soc moi truong)
28.2,43.2,27.1,47.7,Can trong,Khong
41.7,31.8,41.4,31.5,Cuc ky nguy hiem,Khong
30.8,93.7,28.8,96.4,Can trong,Khong
38.9,87.4,38.3,96,Nguy hiem,Khong
33.8,38.6,33.1,43.4,Canh bao cao,Khong
23.8,48,25.6,41.9,An toan,Khong
24.9,45.9,23.7,51,An toan,Khong
28.1,66.4,29,72.2,Can trong,Khong
28.7,35.1,27.7,35.7,Can trong,Khong
33.2,88.6,33,87.4,Nguy hiem,Khong
26.1,86,27.6,91.8,An toan,Khong
41.5,60,40.5,64.1,Cuc ky nguy hiem,Khong
40.2,55.8,42.2,61.6,Canh bao cao,Khong
40.3,43.7,40.5,50.4,Canh bao cao,Khong
37,44.2,38.2,42.6,Canh bao cao,Khong
32.5,70.2,33.8,65.8,Nguy hiem,Khong
20,51,20.8,45.9,An toan,Khong
39.1,78.3,36.3,78.1,Nguy hiem,Khong
37.2,42.1,35.8,34.7,Canh bao cao,Khong
34.4,37.4,34.3,36.5,Canh bao cao,Khong
32.1,59.8,31.4,56.6,Canh bao cao,Khong
29,51.7,28.2,44,Can trong,Khong
39.6,69.1,41,63.7,Nguy hiem,Khong
28.8,78.3,28.1,76.6,Can trong,Khong
30.2,48.3,30.1,51.9,Can trong,Khong
35.9,85.1,34.7,75.5,Nguy hiem,Khong
31.8,55.6,30.1,52.4,Can trong,Khong
25.6,69.1,25.2,73.5,An toan,Khong
38.7,65.6,38.2,58.6,Nguy hiem,Khong
28.4,48.7,27,43.8,Can trong,Khong
29,63.2,30,55.4,Can trong,Khong
20.1,74.4,18.4,80.4,An toan,Khong
24,32.6,24.4,23.1,An toan,Khong
33.1,69.8,32.7,61,Nguy hiem,Khong
34.8,50.7,34.9,49.1,Canh bao cao,Khong
25.6,93.5,24.8,93.6,An toan,Khong
26.9,64.6,25.9,65.6,An toan,Khong
20.6,31.3,22.4,33.2,An toan,Khong
27.9,70.1,26.2,77.1,Can trong,Khong
22,38.6,23.1,44.1,An toan,Khong
20.6,55.1,20.4,49.4,An toan,Khong
41.1,93.3,40.1,91.9,Cuc ky nguy hiem,Khong
34,90,35.6,95.5,Nguy hiem,Khong
21,41.9,21.9,35.8,An toan,Khong
20,75.3,22,78.2,An toan,Khong
27,81,27.2,81.7,An toan,Khong
26,42.9,24.7,47.5,An toan,Khong
20.6,56,21.9,57,An toan,Khong
38.2,54.9,37.3,45.9,Canh bao cao,Khong
29.7,93.4,29.6,91.7,Can trong,Khong
21.9,72.8,20.7,71.4,An toan,Khong
27.8,80.4,29.4,90.3,Can trong,Khong
21.8,38.3,16.2,48.6,An toan,CO (Soc moi truong)
40.6,47.9,39.1,38.4,Canh bao cao,Khong
33.9,83.3,32.6,78.2,Nguy hiem,Khong
